Unnamed: 0,user_id,age,isbn,rating,book_title,book_author,year_of_publication,publisher,Language,city,state,country
0,2,18.0,195153448,0,Classical Mythology,Mark P. O. Morford,2002.0,Oxford University Press,en,stockton,california,usa
1,8,34.74389988072476,2005018,5,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,timmins,ontario,canada
2,1140,49.0,2005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,ottawa,ontario,canada
4,4138,34.74389988072476,2005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,sudbury,ontario,canada
5,6754,30.0,2005018,8,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,toronto,ontario,canada
6,8552,36.0,2005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,victoria,british columbia,canada
7,9605,29.0,2005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,ottawa,ontario,canada
9,1236,34.74389988072476,2005018,9,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,kingston,ontario,canada
10,1774,29.0,2005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,ottawa,ontario,canada
11,2002,34.74389988072476,2005018,8,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,comber,ontario,canada
12,2109,34.74389988072476,2005018,9,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,guelph,ontario,canada
13,2190,60.0,2005018,7,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,halifax,nova scotia,canada
14,2633,27.0,2005018,6,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,fredericton,new brunswick,canada
15,8,34.74389988072476,60973129,0,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,en,timmins,ontario,canada
16,2954,71.0,60973129,8,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,en,wichita,kansas,usa
17,1528,40.0,60973129,7,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,en,ottawa,ontario,canada
18,8,34.74389988072476,374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,timmins,ontario,canada
19,3570,53.0,374157065,6,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,kansas city,missouri,usa
20,8316,65.0,374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,oregon city,oregon,usa
21,1109,36.0,374157065,10,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,milpitas,california,usa
22,1376,46.0,374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,medford,new york,usa
23,1579,30.0,374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,denver,colorado,usa
24,1691,34.74389988072476,374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,edmonton,alberta,canada
25,1926,47.0,374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,vacaville,california,usa
26,1976,49.0,374157065,9,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,indiana,pennsylvania,usa
27,2080,34.74389988072476,374157065,6,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,payson,arizona,usa
28,2091,34.74389988072476,374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,columbus,ohio,usa
29,8,34.74389988072476,393045218,0,The Mummies of Urumchi,E. J. W. Barber,1999.0,W. W. Norton & Company,en,timmins,ontario,canada
30,8,34.74389988072476,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,timmins,ontario,canada
32,2952,26.0,399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,knoxville,tennessee,usa
33,3683,56.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,raleigh,north carolina,usa
34,4639,37.0,399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,san antonio,texas,usa
35,4930,34.74389988072476,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,loveland,colorado,usa
36,4963,34.74389988072476,399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,seattle,washington,usa
37,6795,39.0,399135782,10,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,idaho falls,idaho,usa
38,1132,25.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,evanston,illinois,usa
39,1135,34.74389988072476,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,pleasanton,california,usa
41,1365,31.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,santa barbara,california,usa
42,1487,34.74389988072476,399135782,10,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,homer,alaska,usa
43,1534,34.74389988072476,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,upland,california,usa
44,1782,34.74389988072476,399135782,5,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,harbor city,california,usa
45,1802,41.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,ann arbor,michigan,usa
46,1885,20.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,klang,selangor,malaysia
47,1947,34.74389988072476,399135782,9,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,dallas,texas,usa
48,1980,34.74389988072476,399135782,7,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,sandy,oregon,usa
49,2006,58.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,pittsburg,missouri,usa
50,2071,42.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,san diego,california,usa
51,2119,38.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,jacksonville,florida,usa
52,2124,34.74389988072476,399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,austin,texas,usa
53,2131,34.74389988072476,399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,san diego,california,usa
54,2305,52.0,399135782,7,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,colorado springs,colorado,usa
55,2363,34.74389988072476,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,houston,texas,usa
56,2385,21.0,399135782,10,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,kuala lumpur,selangor,malaysia
57,2422,42.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,livonia,michigan,usa
59,2485,34.74389988072476,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,vancouver,british columbia,canada
60,2522,42.0,399135782,0,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,sammamish,washington,usa
61,2529,22.0,399135782,8,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,renton,washington,usa
62,2556,34.0,399135782,5,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,en,parker,colorado,usa
63,8,34.74389988072476,425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,en,timmins,ontario,canada
64,5261,33.0,425176428,8,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,en,toccoa,ga.,usa
65,5619,34.0,425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,en,wahiawa,hawaii,usa
66,2259,19.0,425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,en,annville,pennsylvania,usa
67,2746,33.0,425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,en,wahiawa,hawaii,usa
68,8,34.74389988072476,671870432,0,PLEADING GUILTY,Scott Turow,1993.0,Audioworks,9,timmins,ontario,canada
70,2453,34.74389988072476,671870432,0,PLEADING GUILTY,Scott Turow,1993.0,Audioworks,9,cabrils,catalunya,spain
71,8,34.74389988072476,679425608,0,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996.0,Random House,en,timmins,ontario,canada
73,8,34.74389988072476,771074670,0,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,en,timmins,ontario,canada
75,9849,34.74389988072476,771074670,0,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,en,toronto,ontario,canada
76,1665,57.0,771074670,0,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,en,greenwood,british columbia,canada
77,1892,34.74389988072476,771074670,6,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,en,dunedin,otago,new zealand
78,2230,51.0,771074670,0,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,en,ottawa,ontario,canada
80,8,34.74389988072476,887841740,5,The Middle Stories,Sheila Heti,2004.0,House of Anansi Press,9,timmins,ontario,canada
81,9286,34.74389988072476,887841740,0,The Middle Stories,Sheila Heti,2004.0,House of Anansi Press,9,vancouver,british columbia,canada
